Name of Exercise,Benefit,Sets,Reps,Burns Calories,Target Muscle Group,Equipment Needed,Difficulty Level,Embedding,Input Text Token Count
Push-ups,Builds upper body strength,3,15,200,"Chest, Triceps, Shoulders",,Intermediate,"[-0.03502103, 0.04280348, 0.079770125, -0.05123447, 0.063556686, -0.024482295, 0.01159261, 0.13878705, -0.07393329, -0.01969933, 0.06874499, -0.14462388, -0.049937394, -0.20623495, 0.05966546, 0.053180084, -0.036642373, -0.011916879, 0.013132886, -0.082040004, -0.021239607, 0.07750024, 0.015889172, 0.017591583, -0.10636017, 0.05188301, 0.063556686, -0.108305775, -0.015970238, 0.09728064, 0.017753717, -0.041506406, 0.027400713, -0.047667515, -0.1018204, -0.057395577, -0.039885063, 0.07425755, 0.062259607, -0.063556686, 0.13943559, -0.04831605, -0.017510515, 0.035993837, 0.11673677, 0.0036074903, 0.068096444, -0.101171866, -0.030319132, 0.01159261, 0.011916879, -0.018969724, -0.029670594, -0.124519214, -0.016456641, 0.10895432, 0.02286095, 0.03307542, 0.060638264, -0.050261665, -0.05188301, -0.06615084, 0.04896459, -0.04280348, -0.11154847, -0.09987479, -0.09079526, -0.092092335, -0.028049251, -0.025130833, 0.019618262, -0.032751147, -0.049613126, 0.2671975, 0.032264747, -0.079445854, -0.08268854, -0.03096767, 0.034858897, 0.0070933797, -0.02318522, -0.004782965, 0.06874499, 0.017996918, 0.06193534, 0.017186247, 0.029022057, -0.113494076, 0.0102144675, -0.07490609, 0.047343243, -0.015808104, -0.024158025, 0.0051072338, 0.15175779, -0.06777218, 0.017024111, -0.0716634, -0.03615597, -0.031616207, 0.017834784, -0.052531544, 0.028211385, 0.029994864, 0.0065259095, 0.06550229, -0.053180084, 0.059989728, 0.009038992, 0.0810672, -0.0084309885, 0.008876858, 0.0010741404, 0.08430988, -0.06550229, 0.04637044, -0.045073364, 0.014267827, 0.08139147, -0.07847305, 0.033399686, 0.07133914, 1.3379255e-05, -0.008795791, 0.029994864, 0.11543969, 0.03648024, 0.032589015, -0.015483835, -0.04215494, -0.08171574, -0.04134427, 0.12516776, 0.007944586, 0.0047221645, -0.018077984, -0.06777218, 0.03842585, -0.04020933, 0.0103766015, -0.04134427, -0.0405336, 0.09079526, -0.023833757, -0.031129804, 0.03145407, 0.015159566, 0.029022057, -0.052855812, -0.016294507, -0.0457219, -0.019942531, -0.031616207, -0.0034858896, 0.060638264, 0.058692653, 0.020104665, 0.008876858, 0.01475423, -0.004438429, -0.1277619, 0.026752176, -0.07555463, 0.028373519, 0.0055936365, -0.04377629, 0.019618262, -0.12841044, 0.038912255, 0.011187273, -0.14073266, -0.013051819, 0.0083904555, 0.017996918, 0.08366135, 0.0013072086, -0.03210261, -0.055449963, -0.067123644, 0.0037696247, 0.02318522, 0.1485151, 0.028535655, 0.008998459, -0.08755258, 0.03307542, 0.0101334, -0.028697789, -0.1018204, 0.023671621, -0.061286803, 0.01913186, -0.02107747, 0.009241661, -0.04215494, -0.046694707, 0.045073364, -0.037453044, -0.036318105, 0.059989728, 0.09403795, -0.05934119, -0.02432016, -0.0007549383, -0.010092867, -0.030156998, -0.0047018975, -0.043452017, 0.008349922, 0.044424824, 0.011673677, -0.044749092, 0.06193534, 0.023671621, 0.12127653, -0.045073364, 0.015402768, -0.03761518, -0.04377629, -0.025779368, 0.0060395063, -0.19715543, -0.021563875, -0.009768598, 0.029994864, -0.033561822, 0.09274088, -0.034210358, 0.07360902, -0.0664751, -0.03129194, 0.05642277, 0.086904034, -0.036966644, 0.079770125, -0.05447716, 0.00047373644, -0.018077984, 0.07814878, 0.01564597, -0.018483322, 0.15629756, 0.0141867595, 0.04134427, 0.0070123128, -0.005877372, 0.07620317, -0.06550229, 0.06161107, -0.061286803, 0.09792918, -0.046046168, -0.029022057, -0.105711624, -0.093389414, -0.0103766015]",76
Squats,Strengthens lower body,4,12,223,"Quadriceps, Hamstrings, Glutes",,Beginner,"[0.014119121, -0.03100068, 0.07366498, -0.035297804, 0.03652555, -0.09576447, 0.0730511, 0.12891372, -0.051872425, 0.0035681475, 0.08594248, -0.06967479, 0.034990866, -0.21117294, -0.0016689722, 0.05095161, 0.02148562, -0.05923892, 0.012584434, -0.087784104, -0.036372084, 0.041743487, -0.05095161, -0.022099493, -0.06752623, -0.023480712, 0.032381896, -0.032074958, -0.078575976, 0.05923892, -0.00951506, -0.06967479, 0.08410085, 0.023173776, -0.093922846, 0.026703555, -0.06568461, 0.0779621, 0.0951506, -0.027624367, 0.16206296, -0.06906092, 0.00043642664, 0.016728088, 0.11602234, -0.026550086, 0.0902396, -0.16329071, 0.052486297, -0.054941796, -0.021792557, -0.008172208, -0.023941118, -0.025936212, -0.06537767, -0.017648902, 0.033763114, 0.031768024, -0.013735449, -0.013581981, -0.00044122254, -0.05954586, 0.032688834, -0.061387483, -0.10681422, -0.06998173, -0.06998173, -0.03437699, -0.0021197866, -0.016037479, 0.010896279, -0.08225923, -0.053100172, 0.32412592, 0.011203215, -0.07151642, -0.06783317, -0.032381896, 0.03084721, -0.033456177, -0.05217936, -0.018032573, 0.10374485, -0.0068677245, 0.07765517, 0.032074958, -0.04880305, -0.100061595, -0.040822677, -0.036679022, 0.006982826, 0.0035297803, 0.010973013, -0.0049493657, 0.11172522, -0.045733675, -0.027010493, -0.12031946, -0.051872425, 0.032688834, 0.015116667, -0.037139427, 0.03299577, 0.033609647, 0.019797463, 0.048496112, -0.04481286, 0.0033763116, 0.039901864, 0.08225923, -0.020564808, -0.006330584, 0.029926399, 0.030693742, -0.005678342, 0.028084774, -0.06507073, -0.031461086, 0.07120948, -0.0902396, 0.048189174, -0.01181709, 0.066298485, 0.059852798, -0.026396617, 0.17925145, -8.033128e-05, 0.06507073, -0.11602234, -0.053100172, -0.052793235, -0.0065991543, 0.044505924, -0.02133215, -0.014119121, -0.056476485, -0.021639088, -0.029465992, -0.026703555, 0.014042387, -0.025168868, -0.084714726, 0.06906092, -0.010205669, -0.09146735, 0.05095161, -0.03759983, 0.030540273, -0.10558647, -0.0122007625, -0.08962572, -0.06537767, -0.0976061, -0.007980373, 0.025168868, 0.081645355, -0.058625046, -0.06261523, -0.043278176, -0.032688834, -0.08901185, 0.08655635, -0.067219295, 0.0026281516, 0.011663622, -0.0019183588, -0.0026857024, -0.14303283, -0.0003309169, 0.096992224, -0.07489273, -0.07151642, 0.026703555, -0.039594926, 0.057397295, 0.036372084, -0.009208122, 0.019643994, -0.10865585, 0.015116667, -0.0123542305, 0.15653808, 0.06384298, 0.0804176, -0.035144333, 0.026703555, -0.032842305, -0.070288666, -0.06507073, 0.0225599, -0.13443859, 0.06507073, -0.017111761, -0.07581354, -0.051872425, -0.022713369, 0.06875398, -0.022252962, -0.009975466, 0.11172522, 0.0730511, 0.05555567, 0.009016287, -0.00033811075, 0.013198309, -0.0028008039, -0.022252962, -0.03652555, 0.018262776, 0.038213708, 0.050337736, -0.06537767, 0.05340711, 0.021639088, 0.032842305, -0.013581981, 0.024401525, -0.031307615, -0.04297124, 0.02854518, -0.012507699, -0.16206296, -0.03437699, -0.026857024, 0.05340711, -0.01480973, 0.09146735, -0.078575976, -0.051565487, -0.038213708, -0.0012037702, 0.038674116, 0.04665449, -0.010589341, 0.024248056, -0.06322911, -0.010819544, -0.049416922, 0.024708461, 0.03453046, -0.019950932, 0.066298485, 0.100061595, -0.034070052, -0.02240643, 0.004987733, 0.06015973, -0.017725635, 0.033149242, -0.02025787, 0.05954586, -0.039594926, -0.04143655, -0.049109988, -0.075506605, -0.021792557]",78
Lunges,Improves balance and coordination,3,10,275,"Quadriceps, Hamstrings, Glutes",,Beginner,"[-0.019165039, -0.056640625, 0.060791016, -0.068359375, 0.09472656, -0.111328125, 0.037353516, 0.106933594, -0.06542969, -0.0073547363, 0.10107422, -0.06738281, 0.00015830994, -0.19335938, 0.017822266, 0.111328125, 0.0138549805, -0.063964844, 0.028808594, -0.07128906, -0.048095703, 0.076171875, -0.04663086, 0.010925293, -0.0546875, -0.021606445, 0.05102539, -0.03881836, -0.07128906, 0.051757812, -0.040283203, -0.041992188, 0.107910156, 0.03149414, -0.14160156, 0.018798828, -0.095703125, 0.056884766, 0.05444336, -0.038085938, 0.12451172, -0.099121094, -0.0126953125, 0.0032043457, 0.106933594, -0.0025482178, 0.06347656, -0.15722656, 0.016967773, -0.10888672, 0.015258789, -0.041259766, -0.048339844, -0.068847656, -0.03515625, -0.024658203, 0.015991211, 0.03564453, -0.016357422, -0.059814453, -0.016235352, -0.07519531, 0.037597656, -0.049560547, -0.16894531, -0.041259766, -0.119140625, -0.038085938, -0.021972656, 0.025268555, -0.022705078, -0.057373047, -0.076171875, 0.28710938, 0.0027008057, -0.083496094, -0.06542969, -0.038330078, 0.016723633, -0.037841797, -0.047607422, -0.033935547, 0.11816406, 3.0398369e-05, 0.03564453, -0.0075683594, -0.02746582, -0.064453125, -0.055664062, -0.030395508, 0.045410156, -0.037841797, 0.015075684, -0.0014572144, 0.076171875, -0.057617188, -0.02355957, -0.13378906, -0.071777344, -7.009506e-05, 0.014709473, -0.03515625, 0.0077819824, 0.021972656, 0.03955078, 0.06738281, -0.045898438, 0.018798828, 0.055908203, 0.06689453, 0.024414062, 0.020507812, 0.017944336, 0.06591797, -0.01940918, 0.03491211, -0.09472656, -0.026000977, 0.017089844, -0.111328125, 0.075683594, 0.018188477, 0.05053711, 0.05102539, -0.008056641, 0.1484375, 0.03491211, 0.019165039, -0.11035156, -0.07421875, -0.064453125, -0.041748047, 0.047607422, -0.041015625, -0.033935547, -0.026000977, -0.013977051, -0.012817383, -0.027954102, -0.00015449524, 0.006225586, -0.056396484, 0.05908203, 0.0146484375, -0.10253906, 0.060302734, -0.03173828, 0.008972168, -0.08886719, -0.057861328, -0.080566406, -0.040527344, -0.03564453, 0.022460938, 0.040039062, 0.063964844, -0.07080078, -0.004211426, -0.025268555, -0.014770508, -0.09863281, 0.07373047, -0.06738281, -0.055908203, 0.0154418945, -0.018066406, -0.053466797, -0.12158203, -0.0039978027, 0.0138549805, -0.10595703, -0.068847656, 0.036621094, -0.03173828, 0.060791016, 0.022460938, -0.041503906, -0.004180908, -0.07373047, 0.035888672, 0.072753906, 0.12890625, 0.03112793, 0.07421875, -0.06982422, 0.01184082, -0.0115356445, -0.04345703, -0.05883789, 0.061767578, -0.11279297, 0.04638672, -0.06689453, -0.0703125, -0.025634766, 0.0079956055, 0.064941406, -0.064453125, 0.006866455, 0.09033203, 0.10986328, 0.026367188, 0.009521484, 0.025878906, 0.05029297, 0.0059509277, -0.017211914, -0.05810547, -0.014709473, 0.018676758, 0.060058594, -0.037597656, 0.064941406, 0.029052734, 0.028198242, -0.03515625, 0.015380859, 0.02368164, -0.06933594, 0.046875, 0.010437012, -0.13378906, -0.0068359375, -0.01940918, 0.036132812, 0.001083374, 0.067871094, -0.059326172, -0.06201172, -0.04296875, -0.036376953, 0.037109375, 0.056396484, 0.055419922, 0.028198242, -0.088378906, 0.02722168, -0.035888672, 0.049560547, 0.014099121, -0.019042969, 0.07128906, 0.07421875, -0.03149414, -0.049804688, 0.026123047, 0.091796875, -0.03930664, 0.01928711, -0.015258789, 0.05444336, -0.03125, -0.027832031, -0.07373047, -0.09375, -0.037841797]",78
Burpees,Full body workout,3,10,355,Full Body,,Advanced,"[-0.060302734, 0.017456055, 0.056640625, -0.06689453, 0.040527344, -0.091308594, 0.010620117, 0.14355469, -0.07714844, -0.041259766, 0.067871094, -0.16601562, -0.0034637451, -0.20898438, 0.014953613, 0.067871094, -0.044921875, -0.044677734, 0.0095825195, -0.06933594, 0.013916016, 0.029418945, -0.012939453, 0.0390625, -0.07910156, 0.028198242, 0.041259766, -0.016723633, -0.06225586, 0.08544922, 0.015014648, -0.10449219, 0.08642578, -0.0011825562, -0.114746094, -0.04638672, -0.04638672, 0.09472656, 0.09423828, -0.07080078, 0.13769531, -0.087402344, -0.018920898, 0.05810547, 0.125, 0.006500244, 0.011962891, -0.05053711, -0.02734375, -0.03100586, 0.025634766, -0.0043945312, -0.064941406, -0.095214844, -0.041992188, 0.020751953, 0.05029297, 0.0018844604, 0.052978516, -0.048583984, -0.010314941, -0.08984375, 0.020874023, -0.021850586, -0.10839844, -0.12890625, -0.10253906, -0.026367188, 0.005218506, -0.03515625, -0.009338379, -0.09277344, -0.072753906, 0.25976562, 0.01361084, -0.05859375, -0.09863281, -0.064941406, 0.021362305, 0.012756348, -0.00970459, -0.06933594, 0.033203125, 0.014465332, 0.05126953, 0.041015625, -0.01373291, -0.080566406, 0.01953125, -0.06225586, 0.0015258789, -0.024047852, -0.0028533936, -0.045898438, 0.17382812, -0.07324219, -0.02758789, -0.0703125, -0.021484375, -0.041748047, 0.005554199, -0.00092697144, 0.0138549805, 0.030639648, 0.022216797, 0.033691406, -0.049316406, 0.01159668, 0.029052734, 0.095214844, -0.01159668, 0.007873535, 0.08154297, 0.021728516, -0.036132812, 0.03491211, -0.059814453, 0.02709961, 0.047851562, -0.053222656, 0.043701172, 0.032958984, -0.029663086, 0.014099121, -0.029541016, 0.11425781, 0.06298828, 0.08154297, -0.08203125, -0.030029297, -0.044433594, -0.057373047, 0.095214844, 0.009277344, -0.013793945, 0.021240234, -0.037597656, -0.029663086, -0.07763672, -0.012084961, 0.017211914, -0.052978516, 0.06591797, -0.025634766, -0.087402344, 0.096191406, 0.06225586, 0.052490234, -0.087402344, 0.02734375, -0.064453125, -0.061279297, -0.044189453, 0.0154418945, 0.068847656, 0.04272461, -0.038330078, 0.00045776367, -0.021240234, 0.012023926, -0.110839844, 0.080566406, -0.05078125, -0.026000977, 0.01953125, -0.0078125, -0.053710938, -0.10546875, 0.04272461, 0.051757812, -0.17089844, -0.024047852, -0.003829956, -0.028320312, 0.026977539, 0.0012664795, -0.044433594, -0.059570312, -0.04663086, -0.041992188, 0.017089844, 0.12158203, 0.04296875, 0.05810547, -0.06982422, 0.041015625, -0.0546875, -0.0703125, -0.06982422, -0.0038146973, -0.04321289, 0.0033874512, -0.04663086, -0.023803711, -0.08154297, 0.041259766, 0.087890625, 0.006439209, -0.076171875, 0.057617188, 0.10107422, 0.0075683594, 0.008361816, -0.01928711, -0.005859375, -0.013183594, -0.018798828, -0.08251953, 0.013671875, 0.0022735596, 0.018066406, -0.06298828, 0.08642578, 0.037353516, 0.068359375, -0.024902344, 0.04321289, 0.0020446777, -0.087402344, -0.0077819824, -0.018798828, -0.14550781, 0.04272461, -0.018432617, 0.10205078, 0.00680542, 0.0703125, -0.060058594, -0.017944336, -0.036132812, 0.0074768066, 0.05517578, 0.07470703, -0.001739502, 0.061035156, -0.06201172, 0.024536133, -0.041503906, 0.026245117, 0.0009536743, 0.010375977, 0.123046875, 0.083496094, 0.052490234, -0.012512207, 0.016113281, 0.10546875, -0.096191406, 0.03930664, -0.049804688, 0.080078125, -0.03955078, -0.040283203, -0.09375, -0.06689453, 0.0062561035]",68
Mountain Climbers,Improves cardiovascular fitness,3,20,240,"Core, Shoulders, Legs",,Intermediate,"[-0.032226562, 0.040039062, -0.0052490234, -0.08984375, 0.043701172, -0.041259766, 0.024536133, 0.068847656, -0.059570312, -0.029663086, 0.055419922, -0.050048828, -0.08154297, -0.19726562, 0.009521484, 0.107421875, 0.029663086, 0.0019683838, 0.00014400482, -0.004211426, 0.0036621094, 0.051513672, -0.03100586, 0.028686523, -0.07763672, 0.042236328, 0.026123047, -0.032470703, -0.076660156, 0.043945312, -0.036621094, -0.075683594, 0.075683594, -0.02758789, -0.17773438, 0.026855469, -0.123535156, 0.05078125, 0.08300781, -0.018310547, 0.115234375, -0.099121094, -0.06298828, 0.0703125, 0.09765625, 0.029785156, 0.02709961, -0.10986328, -0.02722168, -0.072753906, -0.024536133, -0.0126953125, -0.067871094, -0.119628906, -0.05053711, 0.018432617, 0.0032958984, 0.052978516, 0.053466797, -0.048095703, -0.05908203, -0.08154297, -0.014038086, -0.078125, -0.09082031, -0.060058594, -0.10107422, -0.029785156, -0.018432617, 0.047851562, -0.0032958984, 0.012023926, -0.022949219, 0.28515625, 0.03540039, -0.041503906, -0.09033203, -0.030517578, 0.052246094, -0.012512207, -0.029663086, -0.027709961, 0.05444336, 0.008850098, 0.015625, -0.022216797, -0.061767578, -0.01159668, -0.0002193451, -0.04736328, 0.016113281, 0.0043945312, 0.0068969727, 0.010559082, 0.118652344, -0.07470703, -0.014404297, -0.08105469, -0.049804688, -0.0053100586, -0.0025177002, -0.057128906, 0.0010604858, 0.033447266, 0.052734375, 0.107421875, -0.05444336, 0.08691406, 0.072753906, 0.045166016, 0.020874023, -0.03564453, 0.05419922, 0.075683594, -0.047851562, 0.014831543, -0.06933594, -0.039794922, 0.04248047, -0.111816406, 0.099609375, 0.0859375, 0.064941406, 0.061279297, -0.008544922, 0.1953125, 0.005432129, 0.05493164, -0.080566406, -0.0061035156, -0.04638672, -0.027832031, 0.008972168, -0.037597656, -0.067871094, -0.029052734, -0.00074768066, -0.0065612793, -0.053710938, 0.021606445, -0.02331543, -0.115722656, 0.08691406, 0.029296875, -0.088378906, 0.09033203, 0.0011672974, 0.010986328, -0.003036499, -0.07861328, -0.07080078, -0.053466797, 0.013671875, 0.010559082, 0.033203125, 0.057861328, -0.01953125, 0.022094727, 0.041748047, 0.00074386597, -0.12158203, 0.061523438, -0.04663086, -0.01361084, 0.053222656, 0.03149414, -0.02734375, -0.02734375, -0.032958984, 0.047607422, -0.08935547, -0.0859375, 0.020263672, -0.03491211, 0.014099121, 0.05078125, -0.080078125, -0.028930664, -0.09277344, 0.021362305, 0.00034713745, 0.13671875, 0.049316406, 0.07519531, -0.06542969, 0.036621094, -0.029418945, -0.020629883, -0.104003906, 0.0065612793, -0.06640625, 0.060791016, -0.037109375, -0.025390625, -0.04321289, -0.042236328, 0.053222656, -0.064453125, -0.046875, 0.052490234, 0.06591797, -0.047607422, -0.0037994385, -0.018432617, 0.05419922, -0.05493164, 0.0107421875, -0.023803711, -0.07519531, 0.005126953, 0.025634766, -0.088378906, 0.037597656, 0.075683594, -0.007080078, -0.0035705566, 0.0029296875, 0.0057678223, -0.014587402, -0.005493164, 0.0040283203, -0.16894531, 0.05444336, 0.0069885254, 0.021484375, 0.0060424805, 0.06298828, -0.040771484, -0.003250122, -0.014587402, -0.099609375, 0.041015625, 0.055419922, 0.063964844, 0.060302734, 0.030761719, -0.0031738281, -0.041748047, 0.01373291, -0.04248047, 0.02722168, 0.11816406, 0.04736328, 0.030761719, -0.087402344, -0.0015640259, 0.07128906, -0.050048828, -0.03149414, -0.078125, 0.0859375, 0.0115356445, -0.008361816, -0.14648438, -0.12109375, 0.017822266]",74
Jumping Jacks,Improves coordination and cardiovascular health,3,30,295,Full Body,,Beginner,"[-0.048095703, 0.053222656, 0.052734375, -0.09472656, 0.061767578, -0.079589844, 0.057617188, 0.15527344, -0.06298828, -0.056396484, 0.10888672, -0.111328125, -0.042236328, -0.13574219, 0.020629883, 0.07519531, 0.022583008, -0.033935547, -0.0005683899, -0.09277344, -0.05444336, 0.038085938, -0.060058594, 0.01965332, -0.028320312, -0.060302734, 0.020996094, -0.018554688, -0.05493164, 0.031982422, -0.0027160645, -0.030273438, 0.11376953, -0.0007362366, -0.109375, -0.030883789, -0.049804688, 0.08691406, 0.084472656, -0.07910156, 0.06689453, -0.14453125, -0.08691406, 0.050048828, 0.09863281, 0.021118164, 0.041259766, -0.10839844, -0.016479492, -0.08251953, -0.011108398, -0.039794922, -0.017578125, -0.1328125, -0.05908203, 0.053466797, 0.021362305, 0.057617188, 0.04663086, -0.05419922, -0.09814453, -0.12597656, 0.037353516, -0.028198242, -0.05859375, -0.06933594, -0.0859375, 0.03881836, -0.06591797, 0.021240234, 0.024536133, -0.05102539, -0.08300781, 0.24316406, -0.005706787, -0.053222656, -0.07324219, -0.015625, 0.028442383, -0.00039672852, -0.06298828, -0.018188477, 0.099121094, -0.0234375, 0.01550293, -0.022338867, -0.055908203, -0.05834961, 0.057617188, -0.076171875, 0.01574707, -0.018798828, -0.014587402, 0.010192871, 0.11425781, -0.030029297, -0.07910156, -0.03930664, -0.05102539, -0.0025177002, -0.057617188, -0.024169922, 0.022583008, 0.045654297, 0.04345703, 0.060546875, -0.07080078, -0.020263672, -0.0066223145, 0.08154297, -0.053466797, -0.0025787354, 0.049804688, 0.05444336, -0.045410156, 0.015563965, -0.07421875, -0.07080078, 0.10546875, -0.076171875, 0.037353516, 0.010070801, 0.012207031, 0.07080078, 0.015197754, 0.10107422, 0.103515625, 0.092285156, -0.07910156, -0.02758789, -0.09667969, 0.025268555, 0.06640625, -0.020141602, 0.0077209473, 0.012451172, -0.06298828, -0.05859375, -0.01940918, 0.015991211, 0.0068359375, 0.011962891, 0.07421875, -0.011230469, -0.057861328, 0.09033203, 0.028930664, 0.020874023, -0.040039062, -0.025024414, -0.06591797, -0.026123047, -0.026489258, 0.015136719, 0.049316406, 0.052490234, -0.040771484, -0.0050964355, 0.025878906, -0.028198242, -0.072753906, 0.08300781, -0.028442383, -0.010986328, 0.05883789, 0.0107421875, -0.091796875, -0.052490234, 0.010620117, 0.056152344, -0.15625, -0.025512695, 0.0054626465, -0.011779785, 0.019165039, -0.024536133, -0.037841797, -0.067871094, -0.092285156, -0.00077819824, 0.014587402, 0.14550781, 0.091796875, 0.10546875, -0.076171875, 0.011169434, -0.10986328, -0.043701172, -0.06591797, 0.044677734, -0.053710938, 0.063964844, -0.041015625, -0.068847656, -0.064941406, 0.014831543, 0.04248047, -0.033203125, -4.6253204e-05, 0.083496094, 0.059814453, -0.022216797, 0.052246094, 0.009155273, -0.009277344, -0.041503906, -0.009399414, -0.0625, -0.029907227, 0.02319336, 0.056152344, -0.084472656, 0.08203125, -0.00038146973, 0.04711914, 0.015625, 0.034179688, -0.0004386902, -0.0119018555, -0.040283203, -0.009460449, -0.14453125, -0.017333984, -0.001953125, 0.11035156, -0.041748047, 0.05102539, -0.044677734, -0.01550293, 0.032226562, -0.032958984, 0.045654297, 0.12597656, 0.09472656, -0.02368164, -0.05126953, 0.008666992, -0.05126953, 0.026245117, 0.0034942627, -0.026000977, 0.111816406, 0.048583984, -0.019165039, -0.030517578, -0.013427734, 0.1015625, -0.059570312, 0.03112793, -0.061035156, 0.059570312, -0.018798828, 0.055664062, -0.068847656, -0.13867188, 0.005340576]",74
Bicycle Crunches,Targets abdominal muscles,3,20,210,Core,,Intermediate,"[-0.0062561035, 0.03149414, 0.10644531, -0.049560547, -0.010986328, -0.07763672, 0.07373047, 0.15234375, -0.045654297, -0.029907227, 0.060791016, -0.0703125, -0.028686523, -0.16015625, 0.044433594, 0.042236328, -0.007873535, 0.0040893555, -0.04736328, -0.048339844, -0.003692627, 0.016845703, -0.03100586, 0.0115356445, -0.022949219, 0.053222656, -0.0008125305, -0.068359375, -0.04272461, 0.06591797, -0.013427734, -0.05029297, 0.11279297, -0.011657715, -0.037109375, -0.01940918, -0.07763672, 0.11767578, 0.15039062, -0.04296875, 0.14550781, -0.07324219, -0.03881836, 0.08154297, 0.045166016, -0.017578125, 0.057373047, -0.15917969, 0.021606445, -0.088378906, -0.018066406, 0.009094238, -0.07519531, -0.043701172, -0.07763672, 0.05908203, -0.030151367, 0.04345703, -0.020996094, -0.052734375, -0.068847656, -0.064941406, 0.044921875, -0.07763672, -0.068847656, -0.060791016, -0.053955078, 0.021118164, -0.035888672, 0.0028381348, 0.013305664, -0.03173828, -0.037109375, 0.25, 0.06347656, -0.11621094, -0.031982422, -0.0859375, 0.015991211, 0.017333984, -0.091796875, -0.009338379, 0.012817383, -0.036132812, 0.0043945312, -0.0058288574, -0.041503906, -0.040039062, 0.033935547, -0.028198242, -0.018676758, 0.023071289, -0.034423828, 0.016113281, 0.18457031, -0.027954102, -0.044921875, -0.08496094, -0.10498047, 0.064941406, 0.053955078, -0.03930664, 0.014709473, -0.04638672, 0.06933594, -0.025756836, 0.0047912598, -0.018676758, 0.039794922, 0.06640625, 0.03466797, 0.036132812, 0.032226562, 0.041748047, -0.052490234, 0.05029297, -0.11621094, -0.08251953, 0.09033203, -0.13085938, 0.08300781, 0.095214844, 0.030883789, 0.003250122, 0.028686523, 0.17871094, 0.034179688, 0.11425781, 0.0154418945, -0.04248047, -0.045898438, 0.044677734, 0.059570312, -0.03491211, 0.051757812, -0.048095703, -0.025756836, 0.045410156, -0.03466797, 0.022705078, -0.036865234, -0.083984375, 0.02355957, 0.056152344, -0.053710938, 0.06689453, 0.052978516, 0.087402344, -0.038330078, -0.03125, -0.036865234, -0.06689453, -0.10498047, -0.028930664, 0.06738281, 0.07080078, 0.025146484, 0.014831543, 0.057373047, -0.03491211, -0.12890625, 0.072753906, 0.016113281, -0.018066406, 0.00049972534, 0.021118164, -0.07470703, -0.07080078, 0.03100586, 0.10839844, -0.06640625, -0.0625, -0.012145996, -0.068847656, 0.037597656, 0.0019836426, -0.05908203, -0.0390625, -0.03540039, 0.021118164, -0.024047852, 0.12890625, 0.068847656, 0.04638672, -0.10546875, 0.10253906, -0.013061523, -0.036132812, -0.057128906, -0.05419922, -0.123046875, 0.037109375, -0.01574707, -0.013793945, -0.084472656, -0.045654297, 0.092285156, -0.037597656, -0.053222656, 0.06933594, 0.057861328, -0.028564453, 0.04638672, 0.0074768066, 0.030639648, -0.024169922, 0.036132812, -0.0067443848, 0.0011520386, 0.045166016, -0.020629883, -0.05810547, 0.045654297, 0.0009918213, 0.044189453, -0.08300781, 0.037109375, -0.017944336, -0.036621094, 0.020996094, 0.014831543, -0.12207031, 0.051757812, 0.00982666, -0.022705078, -0.015258789, 0.015075684, -0.0014877319, -0.017700195, 0.004058838, -0.06640625, 0.030883789, 0.0033416748, -0.034423828, 0.009277344, -0.02734375, 0.079589844, -0.041748047, 0.051513672, -0.05883789, -0.083496094, 0.11328125, 0.11279297, -0.014526367, -0.026367188, -0.000869751, 0.076660156, -0.08105469, -0.0115356445, -2.6106834e-05, 0.059326172, -0.0063171387, 0.028198242, -0.095703125, -0.10205078, 0.032714844]",70
